id,name,neighbourhood_group_cleansed,neighbourhood_cleansed,room_type,price_num,availability_365,reviews_per_month,number_of_reviews,ghost_prob
928790352113580300,Clinton by Rove Travel 3BR Duplex with Backyard,Manhattan,Lower East Side,Entire home/apt,546,322,0.04,1,0.3350921199795532
1120417006583335700,Amazing Studio Apt,Manhattan,East Harlem,Entire home/apt,127,269,0.24,1,0.3348015783671699
868488509107014500,"Exposed Brick HDTV Room, Laundry, AC, Rooftop #528",Brooklyn,Crown Heights,Private room,45,365,0.04,1,0.33479064311120277
30394053,"Blueground | Midtown, water views, indoor pool",Manhattan,Theater District,Entire home/apt,328,167,0.07,1,0.33472768103107853
899019461092822500,3 min walk to Grand Ave-Newtown station,Queens,Elmhurst,Private room,50,60,0.06,1,0.3347269866318922
866931048866229900,"1 Twin & 1 Full bed, 50"" TV, Low Cleaning Fee!",Brooklyn,Coney Island,Private room,90,364,0.3,1,0.3346432991104979
657450415752189400,UES Trendy Studio Apartment,Manhattan,Upper East Side,Entire home/apt,143,364,0.04,1,0.33458711824606957
728223912693364500,Stunning Brooklyn Townhouse (For Cat Lovers),Brooklyn,Boerum Hill,Entire home/apt,502,76,0.03,1,0.33448358266170647
148857582734065e4,"Roomrs- Luxury 2BR apt, Essex St",Manhattan,Lower East Side,Entire home/apt,192,349,0.88,1,0.33439076175193616
924522673156896800,444-2C Beautiful 1BR Midtown West,Manhattan,Hell's Kitchen,Entire home/apt,225,304,0.06,1,0.3343381596354616
736883715878353400,Historic Jamaica Addsleigh Park 4 bedroom 2.5 bath,Queens,St. Albans,Entire home/apt,334,84,0.03,1,0.3340724361006016
1340005327486324200,AKA Times Square - One Bedroom Platinum Suite,Manhattan,Theater District,Private room,500,303,0.23,1,0.33406821853989493
37423528,NON SMOKING NY CHELSEA DOUBLE DOUBLE ROOM,Manhattan,Hell's Kitchen,Private room,249,365,0.02,1,0.3340602851271671
862340552185388e3,Murray Hill 3BR Apartment near NYU Medical Center,Manhattan,Kips Bay,Entire home/apt,293,318,0.09,1,0.3339733713677634
597077746482427600,"Huge Sunny UES 3 bd, 3 bath Condo - Summer Rental",Manhattan,Upper East Side,Entire home/apt,500,173,0.03,1,0.3338808636515117
1480776449161666600,"Cómodo, céntrico y tranquillo",Bronx,Norwood,Private room,99,364,0.68,1,0.3338708219790302
50727455,"Luxury Building Bushwick Room, Balcony, Gym #218",Brooklyn,Bushwick,Private room,46,365,0.02,1,0.33377824084310576
1424690366948941600,High End 1 bdr Apt in Midtown,Manhattan,Hell's Kitchen,Entire home/apt,300,340,0.24,1,0.3336315109595495
561438111914086700,Beautiful modern home -king bed surfers dream (39),Queens,Arverne,Entire home/apt,250,365,0.02,1,0.33361351036395553
50851753,Suite 201  Two Bedroom apt 1 min walk to 7 train,Queens,Corona,Entire home/apt,190,365,0.54,1,0.33359957853660943
54021730,Private room Apt in Manhattan 30min to Midtown,Manhattan,Inwood,Private room,42,60,0.02,1,0.3335000456170069
1024051110082921e3,24-9New Prime Gramercy Subway W/D in unit,Manhattan,Kips Bay,Entire home/apt,255,351,0.08,1,0.33345980545563575
773237631431486600,Home sweet home,Brooklyn,Bedford-Stuyvesant,Private room,172,365,0.03,1,0.3334566624857855
1390021223458084400,2 Bedroom Standard,Manhattan,Financial District,Entire home/apt,561,88,0.23,1,0.3333104374409129
